#ZVView-data-copy:   6-Feb-2012 13:45:14
#=======================================
#
#name:   ENDF/B-VII.0: GD-155(N,G)GD-156
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  9789
#data...
#            X            Y
#          MeV        barns
    8.18714e-6      44.5139
    8.20121e-6      42.0248
    8.21529e-6      39.7611
    8.22937e-6      37.6962
    8.24344e-6      35.8071
    8.25986e-6      33.7995
    8.27863e-6      31.7319
     8.2974e-6      29.8743
    8.31617e-6      28.1992
    8.33494e-6      26.6831
     8.3537e-6      25.3062
    8.37247e-6      24.0517
    8.39124e-6      22.9051
    8.41314e-6      21.6877
    8.43816e-6      20.4349
    8.46318e-6      19.3107
    8.48821e-6      18.2981
    8.51323e-6      17.3831
    8.53826e-6      16.5537
    8.56328e-6      15.7999
     8.5883e-6      15.1133
    8.61598e-6      14.4229
    8.64632e-6      13.7396
    8.67665e-6      13.1237
    8.70699e-6       12.567
    8.75249e-6      11.8289
      8.798e-6      11.1913
     8.8435e-6      10.6401
    8.89029e-6      10.1513
    8.93708e-6      9.73058
    8.98386e-6      9.37052
    9.03065e-6      9.06654
    9.07744e-6      8.81523
    9.11696e-6      8.64204
    9.16481e-6      8.47918
    9.21266e-6      8.36824
    9.26052e-6      8.31196
    9.28444e-6      8.30595
    9.33195e-6       8.3429
    9.36362e-6      8.40824
    9.39529e-6      8.51138
    9.42408e-6      8.64316
       9.45e-6      8.79794
    9.47591e-6        8.993
    9.50182e-6      9.23582
    9.52773e-6       9.5361
    9.54717e-6      9.80657
     9.5666e-6      10.1234
    9.58604e-6      10.4953
    9.60547e-6      10.9335
    9.62527e-6      11.4626
    9.63894e-6      11.8871
    9.65262e-6      12.3688
     9.6663e-6      12.9178
    9.67997e-6      13.5464
    9.69365e-6      14.2703
     9.7039e-6      14.8873
    9.71416e-6      15.5789
    9.72442e-6      16.3574
    9.73504e-6      17.2707
    9.74583e-6      18.3321
    9.75303e-6      19.1266
    9.76023e-6      20.0012
    9.76743e-6      20.9664
    9.77463e-6      22.0344
    9.78182e-6      23.2189
    9.78902e-6      24.5358
    9.79622e-6      26.0027
    9.80342e-6      27.6399
    9.81062e-6      29.4696
    9.81781e-6      31.5163
    9.82501e-6      33.8066
    9.83041e-6      35.7012
    9.83581e-6      37.7612
    9.84121e-6      39.9991
    9.84805e-6      43.1091
    9.85308e-6      45.6108
    9.85812e-6      48.3013
    9.86316e-6      51.1892
    9.87072e-6      55.9066
    9.87828e-6      61.1019
    9.88332e-6      64.8352
    9.89123e-6      71.1346
    9.89915e-6      77.9439
    9.90707e-6      85.2212
    9.91859e-6      96.4977
    9.94378e-6      122.434
    9.95501e-6      133.517
    9.96343e-6      141.166
    9.97084e-6      147.217
    9.97775e-6      152.139
    9.98466e-6      156.248
    9.99042e-6       158.98
    9.99618e-6      161.031
    1.00019e-5      162.367
    1.00088e-5      162.992
    1.00099e-5      162.993
    1.00163e-5      162.462
    1.00215e-5      161.344
    1.00273e-5      159.429
     1.0033e-5      156.829
    1.00411e-5      152.123
    1.00492e-5      146.319
    1.00571e-5      139.664
    1.00651e-5      132.308
    1.00769e-5      120.585
       1.01e-5      96.9221
    1.01108e-5      86.3375
     1.0118e-5      79.6652
    1.01252e-5      73.3649
    1.01327e-5      67.1896
    1.01403e-5       61.488
    1.01478e-5      56.2672
    1.01554e-5      51.5212
    1.01604e-5       48.613
    1.01655e-5      45.9016
     1.0172e-5      42.6914
    1.01784e-5      39.7736
    1.01849e-5      37.1274
    1.01914e-5      34.7314
    1.01979e-5      32.5643
    1.02043e-5      30.6054
    1.02108e-5      28.8348
    1.02173e-5      27.2339
    1.02245e-5      25.6331
